transaction_id,customer_id,policy_id,transaction_date,product_type,policy_status,premium_amount,province,payment_frequency,payment_status
1053,C0053,P10053,2026-02-02T00:00:00.000000000,Life,Lapsed,2759.8,British Columbia,Monthly,Paid
1054,C0054,P10054,bad-date,Annuity,Active,2789.72,Nova Scotia,Monthly,Paid
1055,C0055,P10055,2026-02-14T00:00:00.000000000,Life,Lapsed,2363.94,Manitoba,Monthly,Overdue
1056,C0056,P10056,2026-01-04T00:00:00.000000000,Annuity,Pending,2590.53,British Columbia,Monthly,Paid
1057,C0057,P10057,2026-02-19T00:00:00.000000000,Annuity,Active,3555.69,British Columbia,Monthly,Overdue
1058,C0058,P10058,2026-01-14T00:00:00.000000000,Annuity,Pending,3696.98,Ontario,Monthly,Paid
1059,C0059,P10059,2026-03-08T00:00:00.000000000,Life,Active,2468.61,Ontario,Monthly,Paid
1060,C0060,P10060,2026-03-03T00:00:00.000000000,Annuity,Active,2898.37,British Columbia,Quarterly,Paid
1061,C0061,P10061,2026-03-25T00:00:00.000000000,Annuity,Pending,4224.94,Ontario,Quarterly,Paid
1062,C0062,P10062,2026-03-09T00:00:00.000000000,Annuity,Pending,978.93,Ontario,Monthly,Overdue
1063,C0063,P10063,2026-02-02T00:00:00.000000000,Life,Active,968.41,Alberta,Quarterly,Paid
1064,C0064,P10064,2026-03-29T00:00:00.000000000,Life,Active,850.84,Nova Scotia,Quarterly,Paid
1065,C0065,P10065,2026-02-06T00:00:00.000000000,Life,Active,3131.45,Quebec,Monthly,Paid
1066,C0066,P10066,2026-01-30T00:00:00.000000000,Annuity,Lapsed,2174.43,Manitoba,Monthly,Paid
1067,C0067,P10067,2026-03-23T00:00:00.000000000,Life,Active,3597.29,Quebec,Monthly,Overdue
1068,C0068,P10068,2026-99-99,Life,Active,3184.93,Alberta,Monthly,Pending
1069,C0069,P10069,2026-01-07T00:00:00.000000000,Life,Active,1834.55,Quebec,Quarterly,Paid
1070,C0070,P10070,2026-02-12T00:00:00.000000000,Annuity,Active,4093.47,Ontario,Monthly,Paid
1071,C0071,P10071,2026-03-13T00:00:00.000000000,Life,Active,3550.13,Manitoba,Monthly,Paid
1072,C0072,P10072,2026-01-18T00:00:00.000000000,Annuity,Lapsed,1582.14,Alberta,Monthly,Paid
1073,C0073,P10073,2026-02-11T00:00:00.000000000,Annuity,Active,1956.77,Quebec,Monthly,Pending
1074,C0074,P10074,2026-01-12T00:00:00.000000000,Life,Active,1757.76,Nova Scotia,Quarterly,Paid
1075,C0075,P10075,2026-03-03T00:00:00.000000000,Annuity,Active,1130.45,British Columbia,Monthly,Paid
1076,C0076,P10076,2026-02-12T00:00:00.000000000,Life,Pending,1091.13,Quebec,Monthly,Paid
1077,C0077,P10077,2026-01-30T00:00:00.000000000,Annuity,Pending,4244.51,British Columbia,Monthly,Pending
1078,C0078,P10078,2026-01-21T00:00:00.000000000,Annuity,Active,2251.62,Manitoba,Monthly,Paid
1079,C0079,P10079,2026-02-20T00:00:00.000000000,Annuity,Active,2033.28,Alberta,Monthly,Paid
1080,C0080,P10080,2026-03-02T00:00:00.000000000,Life,Active,3418.74,,Monthly,Paid
1081,C0081,P10081,2026-03-26T00:00:00.000000000,Annuity,Active,2711.97,Nova Scotia,Monthly,Paid
1082,C0082,P10082,2026-02-09T00:00:00.000000000,Annuity,Pending,4244.56,British Columbia,Monthly,Paid
1083,C0083,P10083,2026-01-15T00:00:00.000000000,Annuity,Active,3621.21,Quebec,Quarterly,Paid
1084,C0084,P10084,2026-03-16T00:00:00.000000000,Annuity,Active,2417.48,Ontario,Monthly,Paid
1085,C0085,P10085,2026-02-26T00:00:00.000000000,Annuity,Lapsed,2005.44,Alberta,Monthly,Paid
1086,C0086,P10086,2026-03-05T00:00:00.000000000,Life,Active,4446.53,Nova Scotia,Monthly,Paid
1087,C0087,P10087,2026-01-09T00:00:00.000000000,Life,Active,3371.04,British Columbia,Quarterly,Paid
1088,C0088,P10088,2026-01-29T00:00:00.000000000,Annuity,Active,4304.78,Alberta,Monthly,Pending
1089,C0089,P10089,2026-03-11T00:00:00.000000000,Life,Active,973.91,Quebec,Monthly,Paid
1090,C0090,P10090,2026-03-16T00:00:00.000000000,Life,Active,3902.13,British Columbia,Monthly,Paid
1091,C0091,P10091,2026-02-09T00:00:00.000000000,Annuity,Active,3048.3,British Columbia,Monthly,Paid
1092,C0092,P10092,2026-03-14T00:00:00.000000000,Annuity,Active,987.69,Manitoba,Quarterly,
1093,C0093,P10093,2026-03-17T00:00:00.000000000,Life,Active,2853.03,Alberta,Monthly,Paid
1094,C0094,P10094,2026-02-04T00:00:00.000000000,Annuity,Active,3244.39,British Columbia,Quarterly,Paid
1095,C0095,P10095,2026-03-22T00:00:00.000000000,Life,Active,549.21,Quebec,Quarterly,Pending
1096,C0096,P10096,2026-01-26T00:00:00.000000000,Annuity,Active,2317.27,Nova Scotia,Monthly,Paid
1097,C0097,P10097,2026-01-22T00:00:00.000000000,Life,Active,3801.6,Ontario,Quarterly,Paid
1098,C0098,P10098,2026-03-03T00:00:00.000000000,Annuity,Active,1681.44,Ontario,Monthly,Paid
1099,C0099,P10099,2026-02-27T00:00:00.000000000,Annuity,Lapsed,2334.19,Quebec,Quarterly,Paid
1100,C0100,P10100,2026-01-13T00:00:00.000000000,Annuity,Lapsed,2269.26,British Columbia,Monthly,Paid
1101,C0101,P10101,2026-03-16T00:00:00.000000000,Life,Active,1707.71,Manitoba,Monthly,Paid
1102,C0102,P10102,2026-01-18T00:00:00.000000000,Annuity,Active,4173.77,Quebec,Monthly,Paid
1103,C0103,P10103,2026-03-14T00:00:00.000000000,Life,Active,3625.18,Nova Scotia,Monthly,Paid
1104,C0104,P10104,2026-01-01T00:00:00.000000000,Life,Active,942.35,Quebec,Monthly,Overdue
1092,C0105,P10105,2026-03-13T00:00:00.000000000,Annuity,Active,4488.14,Ontario,Quarterly,Paid
1106,C0106,P10106,2026-03-12T00:00:00.000000000,Life,Active,4016.8,Ontario,Monthly,Paid
1107,C0107,P10107,2026-03-12T00:00:00.000000000,Annuity,Active,1635.63,Nova Scotia,Monthly,Overdue
1108,C0108,P10108,2026-03-01T00:00:00.000000000,Annuity,Active,3847.59,Ontario,Monthly,Overdue
1109,C0109,P10109,2026-02-12T00:00:00.000000000,Life,Active,925.68,Nova Scotia,Monthly,Paid
1110,C0110,P10110,2026-03-05T00:00:00.000000000,Annuity,Active,4496.42,Alberta,Monthly,Paid
1111,C0111,P10111,2026-01-25T00:00:00.000000000,Life,Pending,3162.74,Ontario,Quarterly,Pending
1112,C0112,P10112,2026-03-12T00:00:00.000000000,Annuity,Active,3100.5,Alberta,Monthly,Paid
1113,C0113,P10113,2026-02-20T00:00:00.000000000,Life,Lapsed,861.76,British Columbia,Monthly,Overdue
1114,C0114,P10114,2026-02-11T00:00:00.000000000,Annuity,Active,4088.13,Quebec,Monthly,Pending
1115,C0115,P10115,2026-02-15T00:00:00.000000000,Life,Pending,616.0,Manitoba,Monthly,Overdue
1116,C0116,P10116,2026-02-21T00:00:00.000000000,Life,Lapsed,1463.31,British Columbia,Monthly,Paid
1117,,P10117,2026-01-04T00:00:00.000000000,Life,Lapsed,1072.09,Quebec,Monthly,Paid
1118,C0118,P10118,2026-01-13T00:00:00.000000000,Annuity,Pending,3607.07,British Columbia,Monthly,Paid
1119,C0119,P10119,2026-01-23T00:00:00.000000000,Annuity,Pending,1292.82,Nova Scotia,Quarterly,Paid
1120,C0120,P10120,2026-01-11T00:00:00.000000000,Annuity,Active,4142.55,Quebec,Monthly,Pending
